index,timestamp,bit,p0,p1,confidence,model,elapsed_ms,input_tokens,output_tokens
1,2026-09-22T17:01:15.952205+08:00,0,0.7,0.3,0.4,jev-1.13.0,2950.26,310,31
2,2026-09-22T17:01:18.903132+08:00,0,0.68,0.32,0.35,jev-1.13.0,426.59,310,31
3,2026-09-22T17:01:19.330005+08:00,0,0.69,0.31,0.38,jev-1.13.0,404.08,310,31
4,2026-09-22T17:01:19.734328+08:00,0,0.66,0.34,0.32,jev-1.13.0,740.35,310,31
5,2026-09-22T17:01:20.475008+08:00,0,0.7,0.3,0.39,jev-1.13.0,458.78,310,31
6,2026-09-22T17:01:20.934167+08:00,0,0.7,0.3,0.39,jev-1.13.0,431.32,310,31
7,2026-09-22T17:01:21.365866+08:00,0,0.68,0.32,0.36,jev-1.13.0,407.57,310,31
8,2026-09-22T17:01:21.773776+08:00,0,0.68,0.32,0.36,jev-1.13.0,456.24,310,31
9,2026-09-22T17:01:22.230339+08:00,0,0.68,0.32,0.35,jev-1.13.0,398.47,310,31
10,2026-09-22T17:01:22.630798+08:00,0,0.68,0.32,0.37,jev-1.13.0,444.21,310,31
11,2026-09-22T17:01:23.075391+08:00,0,0.69,0.31,0.37,jev-1.13.0,422.67,310,31
12,2026-09-22T17:01:23.498422+08:00,0,0.67,0.33,0.34,jev-1.13.0,436.33,310,31
13,2026-09-22T17:01:23.935080+08:00,0,0.66,0.34,0.32,jev-1.13.0,523.44,310,31
14,2026-09-22T17:01:24.458839+08:00,0,0.67,0.33,0.35,jev-1.13.0,443.28,310,31
15,2026-09-22T17:01:24.902386+08:00,0,0.68,0.32,0.35,jev-1.13.0,403.74,310,31
16,2026-09-22T17:01:25.306460+08:00,0,0.68,0.32,0.35,jev-1.13.0,445.88,310,31
17,2026-09-22T17:01:25.752675+08:00,0,0.69,0.31,0.38,jev-1.13.0,482.39,310,31
18,2026-09-22T17:01:26.235321+08:00,0,0.69,0.31,0.38,jev-1.13.0,389.14,310,31
19,2026-09-22T17:01:26.624759+08:00,0,0.66,0.34,0.33,jev-1.13.0,365.81,310,31
20,2026-09-22T17:01:26.990935+08:00,0,0.68,0.32,0.36,jev-1.13.0,408.8,310,31
