index,timestamp,bit,p0,p1,confidence,model,elapsed_ms,input_tokens,output_tokens,salt
1,2026-09-22T10:52:37.802859+08:00,0,0.57,0.43,0.14,jev-1.13.0,1414.36,342,31,8f476a547376baef0ee1d5a4486b2cb6
2,2026-09-22T10:52:39.217665+08:00,0,0.6,0.4,0.21,jev-1.13.0,394.55,343,31,9a1c006afaca1d141d4d93f1102092b5
3,2026-09-22T10:52:39.613848+08:00,0,0.61,0.39,0.21,jev-1.13.0,387.69,338,31,febf03f71700ca6572e88eceef1ba42d
4,2026-09-22T10:52:40.001848+08:00,0,0.54,0.46,0.08,jev-1.13.0,1586.0,341,31,118adcdc922061a0ff08025c5cf2087a
5,2026-09-22T10:52:41.588129+08:00,0,0.56,0.44,0.12,jev-1.13.0,466.12,344,31,7785c48f729729214fa786d686d0d1eb
6,2026-09-22T10:52:42.054529+08:00,0,0.6,0.4,0.19,jev-1.13.0,940.24,342,31,8f52d9e0c64964f0b31bba80aec2a4ed
7,2026-09-22T10:52:42.996371+08:00,0,0.66,0.34,0.31,jev-1.13.0,410.14,343,31,d0e1948c3f89e46311ccd8217638d333
8,2026-09-22T10:52:43.406754+08:00,0,0.58,0.42,0.16,jev-1.13.0,446.84,345,31,70093c7a54d520de469f77b6405e1506
9,2026-09-22T10:52:43.853825+08:00,0,0.61,0.39,0.22,jev-1.13.0,369.62,341,31,2dce8ef09d3c3ddbcb7846462a2b4123
10,2026-09-22T10:52:44.223728+08:00,0,0.58,0.42,0.16,jev-1.13.0,357.21,341,31,7c6589a40ead0ada9670fda1b994036f
11,2026-09-22T10:52:44.581192+08:00,0,0.55,0.45,0.1,jev-1.13.0,639.94,343,31,1f7046467de415cb8092fef88a7642c0
12,2026-09-22T10:52:45.221442+08:00,0,0.58,0.42,0.16,jev-1.13.0,753.64,342,31,f997adc18fc8b7012e1024e3b5447552
13,2026-09-22T10:52:45.975360+08:00,0,0.62,0.38,0.23,jev-1.13.0,679.16,341,31,06ea208030987b5cf9f99ffa68de058e
14,2026-09-22T10:52:46.654766+08:00,0,0.6,0.4,0.2,jev-1.13.0,373.05,342,31,80c0f6d48bd61fe6e428285ec26044ee
15,2026-09-22T10:52:47.028113+08:00,0,0.59,0.41,0.19,jev-1.13.0,391.54,343,31,6b2af2d97a306916ebd36f15b5f4ec06
16,2026-09-22T10:52:47.419938+08:00,0,0.6,0.4,0.21,jev-1.13.0,385.9,339,31,f1ddd331d760aa3d0eafd5f298ff9908
17,2026-09-22T10:52:47.806119+08:00,0,0.62,0.38,0.24,jev-1.13.0,882.66,341,31,bca219be8c7975e9b5a980dcde450228
18,2026-09-22T10:52:48.689122+08:00,0,0.57,0.43,0.13,jev-1.13.0,385.89,342,31,2f51e08048ef5c93edc7cb58124a0bdb
19,2026-09-22T10:52:49.075338+08:00,0,0.58,0.42,0.16,jev-1.13.0,403.14,342,31,5bb3030d172bc8f8e551e95abb64d766
20,2026-09-22T10:52:49.478725+08:00,0,0.62,0.38,0.24,jev-1.13.0,396.68,338,31,0dcec06fa5d211d5a5ac58cb6ebbcfb5
21,2026-09-22T10:52:49.875720+08:00,0,0.57,0.43,0.14,jev-1.13.0,426.1,341,31,34abe3dc327c19ac1638dc13d3c10d4a
22,2026-09-22T10:52:50.302220+08:00,0,0.6,0.4,0.2,jev-1.13.0,391.74,343,31,f8b27bf902e88b79d5e480b46cdb2438
23,2026-09-22T10:52:50.694481+08:00,0,0.57,0.43,0.13,jev-1.13.0,370.94,345,31,230237650f7624601247791fb5b430d7
24,2026-09-22T10:52:51.065715+08:00,0,0.56,0.44,0.12,jev-1.13.0,866.89,344,31,870ace93012429906360363a35b8d048
25,2026-09-22T10:52:51.932878+08:00,0,0.62,0.38,0.24,jev-1.13.0,390.09,339,31,ee5e254a6a8cae6d532bce74dc6daad7
26,2026-09-22T10:52:52.323234+08:00,0,0.57,0.43,0.14,jev-1.13.0,670.84,339,31,b78a154fc1bc65d968ee2ef0976adc53
27,2026-09-22T10:52:52.994420+08:00,0,0.59,0.41,0.19,jev-1.13.0,497.07,343,31,b14782bdac54b6d0d2464d02947e907a
28,2026-09-22T10:52:53.491732+08:00,0,0.58,0.42,0.16,jev-1.13.0,1230.49,344,31,73ec334a1e893c4b663d9b8df79231c5
29,2026-09-22T10:52:54.722477+08:00,0,0.62,0.38,0.24,jev-1.13.0,1085.63,342,31,f8843cf4082ac6a89c4af13048c3c6d2
30,2026-09-22T10:52:55.808351+08:00,0,0.57,0.43,0.14,jev-1.13.0,1153.9,342,31,842f054714de66bae54c016c3c1bf636
31,2026-09-22T10:52:56.962573+08:00,0,0.55,0.45,0.09,jev-1.13.0,669.88,340,31,fff67ab746216307ab7e1b812ba497fd
32,2026-09-22T10:52:57.632752+08:00,0,0.57,0.43,0.13,jev-1.13.0,1052.78,344,31,967f7e0895c8ca7114b5fa7b3023798d
33,2026-09-22T10:52:58.685783+08:00,0,0.65,0.35,0.29,jev-1.13.0,686.87,343,31,0d48d88cece87715418132a793de3b43
34,2026-09-22T10:52:59.372886+08:00,0,0.57,0.43,0.13,jev-1.13.0,427.06,343,31,98f6e65e9c47737278d73324dcc2db1e
35,2026-09-22T10:52:59.800310+08:00,0,0.6,0.4,0.2,jev-1.13.0,404.11,343,31,ca508e904fd043b527683867f5c4a947
36,2026-09-22T10:53:00.204706+08:00,0,0.56,0.44,0.13,jev-1.13.0,386.15,342,31,804dc6403ec31a8f347dd57e29c17ca9
37,2026-09-22T10:53:00.591125+08:00,0,0.55,0.45,0.11,jev-1.13.0,397.85,346,31,5770c7e6a1c4b1f134571067d7430d32
38,2026-09-22T10:53:00.989288+08:00,0,0.59,0.41,0.19,jev-1.13.0,365.69,343,31,8d191a3b67326cb5d02bbc45f1544118
39,2026-09-22T10:53:01.355253+08:00,0,0.55,0.45,0.1,jev-1.13.0,1349.81,342,31,2129c4cd40efac14edb2180d7b413d1b
40,2026-09-22T10:53:02.705343+08:00,0,0.6,0.4,0.21,jev-1.13.0,888.76,343,31,de8622fc328b89f435014383902e4455
41,2026-09-22T10:53:03.594452+08:00,0,0.6,0.4,0.19,jev-1.13.0,509.5,339,31,abed94b448c51abfe0f0bfc8566aa5f7
42,2026-09-22T10:53:04.104252+08:00,0,0.64,0.36,0.27,jev-1.13.0,867.92,343,31,0848d935eaf48355b5743efd0202f96a
43,2026-09-22T10:53:04.972456+08:00,0,0.55,0.45,0.1,jev-1.13.0,375.02,343,31,85ba4d9fba9c15533282d4e064c8fc53
44,2026-09-22T10:53:05.347701+08:00,0,0.55,0.45,0.11,jev-1.13.0,382.84,341,31,ba7874b4922aabd4ec3905d470b3154a
45,2026-09-22T10:53:05.730816+08:00,0,0.57,0.43,0.13,jev-1.13.0,367.03,343,31,39e5bdd57dd7b8534615d5427818862a
46,2026-09-22T10:53:06.098080+08:00,0,0.55,0.45,0.11,jev-1.13.0,421.24,345,31,305e405a0130432b6f2c8fc9d73636b9
47,2026-09-22T10:53:06.519558+08:00,0,0.63,0.37,0.26,jev-1.13.0,397.43,345,31,09604b4b80543cc5e1f065b5f1d48090
48,2026-09-22T10:53:06.917262+08:00,0,0.59,0.41,0.18,jev-1.13.0,388.18,340,31,6abe7ea5563054721e5f88aff2bc1b7e
49,2026-09-22T10:53:07.305730+08:00,0,0.58,0.42,0.17,jev-1.13.0,382.18,345,31,58b47364f67e65fa303608b4917d09e8
50,2026-09-22T10:53:07.688220+08:00,0,0.55,0.45,0.1,jev-1.13.0,391.91,340,31,531454fd6cc7d71a3377ec906aac3bc3
51,2026-09-22T10:53:08.080363+08:00,0,0.64,0.36,0.28,jev-1.13.0,423.41,339,31,cb9b62bfc58ed706bc380bd0fd93a7b0
52,2026-09-22T10:53:08.504085+08:00,0,0.6,0.4,0.2,jev-1.13.0,1285.72,343,31,044b220be726888fc65e5f49ed20f3f8
53,2026-09-22T10:53:09.790162+08:00,0,0.6,0.4,0.2,jev-1.13.0,386.64,344,31,63eebf44f166ac01b67b51a4c7e501c5
54,2026-09-22T10:53:10.177114+08:00,0,0.57,0.43,0.15,jev-1.13.0,442.6,337,31,e211a2817bfaef14dddef3beac713bbf
55,2026-09-22T10:53:10.620005+08:00,0,0.63,0.37,0.25,jev-1.13.0,383.57,341,31,bbb0f23358d11bed0e36425af09e0328
56,2026-09-22T10:53:11.003831+08:00,0,0.58,0.42,0.16,jev-1.13.0,401.68,346,31,62725f07f86344826c91d0892d9795a2
57,2026-09-22T10:53:11.405789+08:00,0,0.56,0.44,0.12,jev-1.13.0,1297.71,344,31,25dc041368211e7d28e37e8e34cd584e
58,2026-09-22T10:53:12.703817+08:00,0,0.58,0.42,0.17,jev-1.13.0,442.54,342,31,8cc7ff66e2280c1ff9d3c40c9ee63d64
59,2026-09-22T10:53:13.146611+08:00,0,0.58,0.42,0.17,jev-1.13.0,393.39,345,31,d56638d76e7b02b4e358a486d26c7e5a
60,2026-09-22T10:53:13.540247+08:00,0,0.6,0.4,0.2,jev-1.13.0,443.68,345,31,a22756205e951832b1f626042e14421d
61,2026-09-22T10:53:13.984310+08:00,0,0.59,0.41,0.18,jev-1.13.0,367.42,340,31,c749755cb20c373d24cfcbf2add42451
62,2026-09-22T10:53:14.352106+08:00,0,0.61,0.39,0.21,jev-1.13.0,1345.23,339,31,f0046017e90ceebf899ffa2aeedc33c9
63,2026-09-22T10:53:15.697621+08:00,0,0.57,0.43,0.15,jev-1.13.0,689.37,338,31,5dc8dacdee5f4b010ceb7d95a45ab6e2
