index,timestamp,bit,p0,p1,confidence,model,elapsed_ms,input_tokens,output_tokens
1,2026-09-23T00:14:47.778073+08:00,0,0.6,0.4,0.2,jev-1.13.0,2488.38,310,31
2,2026-09-23T00:14:50.266891+08:00,0,0.62,0.38,0.23,jev-1.13.0,732.06,310,31
3,2026-09-23T00:14:50.999243+08:00,0,0.6,0.4,0.2,jev-1.13.0,794.28,310,31
4,2026-09-23T00:14:51.793852+08:00,0,0.61,0.39,0.21,jev-1.13.0,480.84,310,31
5,2026-09-23T00:14:52.274963+08:00,0,0.59,0.41,0.18,jev-1.13.0,455.16,310,31
6,2026-09-23T00:14:52.730464+08:00,0,0.63,0.37,0.25,jev-1.13.0,1044.45,310,31
7,2026-09-23T00:14:53.775160+08:00,0,0.6,0.4,0.19,jev-1.13.0,431.17,310,31
8,2026-09-23T00:14:54.206575+08:00,0,0.61,0.39,0.21,jev-1.13.0,495.93,310,31
9,2026-09-23T00:14:54.702744+08:00,0,0.64,0.36,0.28,jev-1.13.0,987.5,310,31
10,2026-09-23T00:14:55.691802+08:00,0,0.62,0.38,0.24,jev-1.13.0,456.24,310,31
11,2026-09-23T00:14:56.148309+08:00,0,0.6,0.4,0.2,jev-1.13.0,479.89,310,31
12,2026-09-23T00:14:56.628446+08:00,0,0.61,0.39,0.22,jev-1.13.0,2062.18,310,31
13,2026-09-23T00:14:58.690916+08:00,0,0.61,0.39,0.21,jev-1.13.0,423.58,310,31
14,2026-09-23T00:14:59.114770+08:00,0,0.61,0.39,0.21,jev-1.13.0,447.71,310,31
15,2026-09-23T00:14:59.562775+08:00,0,0.61,0.39,0.23,jev-1.13.0,947.71,310,31
16,2026-09-23T00:15:00.510736+08:00,0,0.63,0.37,0.26,jev-1.13.0,442.93,310,31
17,2026-09-23T00:15:00.953893+08:00,0,0.62,0.38,0.25,jev-1.13.0,493.45,310,31
18,2026-09-23T00:15:01.447579+08:00,0,0.58,0.42,0.16,jev-1.13.0,448.88,310,31
19,2026-09-23T00:15:01.896723+08:00,0,0.6,0.4,0.19,jev-1.13.0,452.87,310,31
20,2026-09-23T00:15:02.349848+08:00,0,0.65,0.35,0.3,jev-1.13.0,466.53,310,31
21,2026-09-23T00:15:02.816687+08:00,0,0.62,0.38,0.24,jev-1.13.0,790.83,310,31
22,2026-09-23T00:15:03.607769+08:00,0,0.58,0.42,0.16,jev-1.13.0,414.51,310,31
23,2026-09-23T00:15:04.022556+08:00,0,0.57,0.43,0.15,jev-1.13.0,448.28,310,31
24,2026-09-23T00:15:04.471120+08:00,0,0.62,0.38,0.23,jev-1.13.0,474.83,310,31
25,2026-09-23T00:15:04.946237+08:00,0,0.59,0.41,0.18,jev-1.13.0,500.78,310,31
26,2026-09-23T00:15:05.447274+08:00,0,0.62,0.38,0.23,jev-1.13.0,436.11,310,31
27,2026-09-23T00:15:05.883669+08:00,0,0.64,0.36,0.27,jev-1.13.0,742.5,310,31
28,2026-09-23T00:15:06.626433+08:00,0,0.61,0.39,0.22,jev-1.13.0,441.68,310,31
29,2026-09-23T00:15:07.068388+08:00,0,0.6,0.4,0.2,jev-1.13.0,448.34,310,31
30,2026-09-23T00:15:07.517022+08:00,0,0.59,0.41,0.17,jev-1.13.0,1241.99,310,31
31,2026-09-23T00:15:08.759287+08:00,0,0.59,0.41,0.18,jev-1.13.0,725.44,310,31
32,2026-09-23T00:15:09.484966+08:00,0,0.62,0.38,0.25,jev-1.13.0,945.65,310,31
33,2026-09-23T00:15:10.430882+08:00,0,0.63,0.37,0.26,jev-1.13.0,480.7,310,31
34,2026-09-23T00:15:10.911820+08:00,0,0.63,0.37,0.25,jev-1.13.0,440.79,310,31
35,2026-09-23T00:15:11.352844+08:00,0,0.6,0.4,0.19,jev-1.13.0,455.93,310,31
36,2026-09-23T00:15:11.809064+08:00,0,0.61,0.39,0.22,jev-1.13.0,463.57,310,31
37,2026-09-23T00:15:12.272890+08:00,0,0.59,0.41,0.17,jev-1.13.0,468.71,310,31
38,2026-09-23T00:15:12.741872+08:00,0,0.6,0.4,0.21,jev-1.13.0,443.09,310,31
39,2026-09-23T00:15:13.185206+08:00,0,0.61,0.39,0.23,jev-1.13.0,450.57,310,31
40,2026-09-23T00:15:13.636031+08:00,0,0.61,0.39,0.22,jev-1.13.0,461.81,310,31
41,2026-09-23T00:15:14.098146+08:00,0,0.64,0.36,0.27,jev-1.13.0,998.97,310,31
42,2026-09-23T00:15:15.097345+08:00,0,0.61,0.39,0.23,jev-1.13.0,976.01,310,31
43,2026-09-23T00:15:16.073583+08:00,0,0.64,0.36,0.29,jev-1.13.0,437.45,310,31
44,2026-09-23T00:15:16.511323+08:00,0,0.61,0.39,0.22,jev-1.13.0,961.23,310,31
45,2026-09-23T00:15:17.472816+08:00,0,0.62,0.38,0.23,jev-1.13.0,459.47,310,31
46,2026-09-23T00:15:17.932505+08:00,0,0.6,0.4,0.19,jev-1.13.0,1247.6,310,31
47,2026-09-23T00:15:19.180372+08:00,0,0.62,0.38,0.25,jev-1.13.0,439.04,310,31
48,2026-09-23T00:15:19.619685+08:00,0,0.61,0.39,0.23,jev-1.13.0,645.88,310,31
49,2026-09-23T00:15:20.265802+08:00,0,0.6,0.4,0.2,jev-1.13.0,413.83,310,31
50,2026-09-23T00:15:20.679929+08:00,0,0.62,0.38,0.23,jev-1.13.0,476.28,310,31
51,2026-09-23T00:15:21.156502+08:00,0,0.59,0.41,0.18,jev-1.13.0,418.15,310,31
52,2026-09-23T00:15:21.574909+08:00,0,0.59,0.41,0.19,jev-1.13.0,441.08,310,31
53,2026-09-23T00:15:22.016280+08:00,0,0.6,0.4,0.2,jev-1.13.0,455.42,310,31
54,2026-09-23T00:15:22.471976+08:00,0,0.63,0.37,0.26,jev-1.13.0,753.52,310,31
55,2026-09-23T00:15:23.225765+08:00,0,0.64,0.36,0.28,jev-1.13.0,747.37,310,31
